Código Centro,Nombre Centro,Localidad,Año Inicio,Año Fin,Programas
04700016,I.E.S. Turaniana,Roquetas de Mar,01/09/2005,,CAEP
04700107,I.E.S. Sol de Portocarrero,La Cañada de San Urbano,01/09/2008,,CAEP
04700326,I.E.S. Galileo,Almería,01/09/2001,,CAEP y III-d
04700341,I.E.S. Mar Serena,Pulpí,01/09/2004,31/08/2008,CAEP
04700363,I.E.S. La Mojonera,La Mojonera,01/09/2004,,CAEP
04700430,I.E.S. Virgen del Mar,Adra,01/09/2013,,CAEP y III-d
04700478,I.E.S. Francisco Montoya,Las Norias,01/09/2004,,CAEP y III-d
04700511,I.E.S. Río Andarax,Almería,01/09/2001,,CAEP y III-d
04700521,I.E.S. El Alquián,El Alquián,01/09/2004,31/08/2008,CAEP
04700600,I.E.S. Puerta de Pechina,Pechina,01/09/2004,31/08/2008,CAEP
04700648,I.E.S. Algazul,Roquetas de Mar,01/09/2004,,CAEP
04700685,I.E.S. Santa María del Águila,Santa María del Águila,01/09/2006,,CAEP y III-d
11000605,I.E.S. Torre del Tajo,Barbate,01/09/2004,,CAEP y III-d
11000824,I.E.S. Trafalgar,Barbate,01/09/2004,31/08/2008,CAEP
11001208,I.E.S. Ciudad de Algeciras,Algeciras,01/09/2004,,CAEP y III-d
11001762,I.E.S. Columela,Cádiz,01/09/2006,,CAEP
11001828,I.E.S. Rafael Alberti,Cádiz,01/09/2004,,CAEP
11003217,I.E.S. Alvar Núñez,Jerez de la Frontera,01/09/2004,31/08/2008,CAEP
11003874,I.E.S. Mediterráneo,La Línea de la Concepción,01/09/2008,,CAEP
11003886,I.E.S. Virgen de la Esperanza,La Línea de la Concepción,01/09/2005,,CAEP
11003916,I.E.S. Mar de Poniente,La Línea de la Concepción,01/09/2007,,CAEP
11004416,I.E.S. Pedro Muñoz Seca,El Puerto de Santa María,01/09/2005,,CAEP
11004428,I.E.S. Mar de Cádiz,El Puerto de Santa María,01/09/2004,31/08/2005,CAEP
11005639,I.E.S. Doñana,Sanlúcar de Barrameda,01/09/2005,,CAEP
11007387,I.E.S. Asta Regia,Jerez de la Frontera,01/09/2001,,CAEP
11007533,I.E.S. Arroyo Hondo,Rota,01/09/2004,31/08/2014,CAEP
11007582,I.E.S. Pablo Ruiz Picasso,Chiclana de la Frontera,01/09/2004,31/08/2007,CAEP
11007685,I.E.S. El Picacho,Sanlúcar de Barrameda,01/09/2012,,CAEP
11007922,I.E.S. Francisco Romero Vargas,Jerez de la Frontera,01/09/2001,,CAEP y III-d
11008446,I.E.S. Saladillo,Algeciras,01/09/2001,,CAEP y III-d
11700287,I.E.S. La Caleta,Cádiz,01/09/2004,,CAEP
11700615,I.E.S. Juan Sebastián Elcano,Sanlúcar de Barrameda,01/09/2004,31/08/2008,CAEP
11700640,I.E.S. Vía Verde,Puerto Serrano,01/09/2004,,CAEP
11700731,I.E.S. Baelo Claudia,Tarifa,01/09/2004,31/08/2008,CAEP
11700755,I.E.S. El Convento,Bornos,01/09/2005,,CAEP
11700834,I.E.S. Las Banderas,El Puerto de Santa María,01/09/2008,,CAEP
11700913,I.E.S. Las Palomas,Algeciras,01/09/2004,31/08/2008,CAEP
11700925,I.E.S. Miguel Hernández,Algeciras,01/09/2004,31/08/2012,CAEP
11700937,I.E.S. Guadalpeña,Arcos de la Frontera,01/09/2004,,CAEP
11700949,I.E.S. Vicente Aleixandre,Barbate,01/09/2004,31/08/2008,CAEP
11701000,I.E.S. La Campiña,Guadalcacín,01/09/2004,,CAEP
11701036,I.E.S. Roche,Roche,01/09/2004,31/08/2008,CAEP
11701103,I.E.S. García Lorca,Algeciras,01/09/2004,,CAEP y III-d
11701115,I.E.S. San Telmo,Jerez de la Frontera,01/09/2001,,CAEP
11701127,I.E.S. Dra. Josefa de los Reyes,Jerez de la Frontera,01/09/2004,,CAEP
11701140,I.E.S. Sofía,Jerez de la Frontera,01/09/2004,,CAEP
11701152,I.E.S. Antonio Machado,La Línea de la Concepción,01/09/2004,,CAEP y III-d
11701231,I.E.S. La Algaida,Río San Pedro,01/09/2004,,CAEP
14000021,I.E.S. Profesor Andrés Bojollo,Puente Genil,01/09/2006,,CAEP
14000343,I.E.S. Villarrubia,Villarrubia,01/09/2006,,CAEP
14000483,I.E.S. Luis Carrillo de Sotomayor,Baena,01/09/2012,,CAEP
14000689,I.E.S. Mario López,Bujalance,01/09/2012,,CAEP
14000707,I.E.S. El Tablero,Córdoba,01/09/2004,,CAEP
14002923,I.E.S. Maimónides,Córdoba,01/09/2004,,CAEP
14002984,I.E.S. Averroes,Córdoba,01/09/2001,,CAEP
14002996,I.E.S. López Neyra,Córdoba,01/09/2001,,CAEP
14003708,I.E.S. Lope de Vega,Fuente Obejuna,01/09/2015,,CAEP
14004889,I.E.S. Zoco,Córdoba,01/09/2015,31/08/2016,CAEP
14005298,I.E.S. Antonio Gala,Palma del Río,01/09/2004,,CAEP
14005493,I.E.S. Florencio Pintado,Peñarroya-Pueblonuevo,01/09/2006,,CAEP
14005560,I.E.S. Aljanadic,Posadas,01/09/2005,,CAEP
14005882,I.E.S. Sierra de Aras,Lucena,01/09/2010,,CAEP
14006576,I.E.S. Arcelacis,Santaella,01/09/2007,,CAEP
14007374,I.E.S. La Fuensanta,Córdoba,01/09/2014,,CAEP
14007659,I.E.S. Galileo Galilei,Córdoba,01/09/2007,,CAEP
14007684,I.E.S. Antonio M.ª Calero,Pozoblanco,01/09/2019,31/08/2020,CAEP
14007945,I.E.S. Trassierra,Córdoba,01/09/2001,,CAEP
14008056,I.E.S. San Álvaro,Córdoba,01/09/2012,31/08/2014,CAEP
14008056,I.E.S. San Álvaro,Córdoba,01/09/2019,,CAEP
14008068,I.E.S. Cárbula,Almodóvar del Río,01/09/2006,,CAEP
14700286,I.E.S. Ángel de Saavedra,Córdoba,01/09/2004,,CAEP
14700304,I.E.S. Colonial,Fuente Palmera,01/09/2004,,CAEP
14700353,I.E.S. Duque de Rivas,Hornachuelos,01/09/2004,,CAEP
14700468,I.E.S. Nuevo Scala,Rute,01/09/2019,,CAEP
14700481,I.E.S. Puente de Alcolea,Alcolea,01/09/2007,,CAEP
14700547,I.E.S. Las Tres Culturas,Córdoba,01/09/2001,31/08/2004,CAEP
14700596,I.E.S. Boabdil,Lucena,01/09/2005,31/08/2010,CAEP
14700705,I.E.S. Guadalquivir,Córdoba,01/09/2001,,CAEP y III-d
14700730,I.E.S. Grupo Cántico,Córdoba,01/09/2004,,CAEP
18000908,I.E.S. Iliberis,Atarfe,01/09/2004,,CAEP
18001834,I.E.S. Emilio Muñoz,Cogollos Vega,01/09/2004,31/08/2008,CAEP
18004793,I.E.S. Pedro Antonio de Alarcón,Guadix,01/09/2006,,CAEP
18005980,I.E.S. Virgen de la Caridad,Loja,01/09/2006,,CAEP
18007046,I.E.S. Francisco Javier de Burgos,Motril,01/09/2006,,CAEP
18008464,I.E.S. Ulyssea,Ugíjar,01/09/2005,,CAEP
18008841,I.E.S. Cartuja,Granada,01/09/2001,,CAEP
18009213,I.E.S. Acci,Guadix,01/09/2005,,CAEP
18009407,I.E.S. Vega de Atarfe,Atarfe,01/09/2004,,CAEP
18009432,I.E.S. Cerro de los Infantes,Pinos Puente,01/09/2004,,CAEP y III-d
18700301,I.E.S. Américo Castro,Huétor Tájar,01/09/2005,,CAEP
18700347,I.E.S. La Contraviesa,Albuñol,01/09/2004,,CAEP
18700360,I.E.S. Arjé,Chauchina,01/09/2005,,CAEP
18700372,I.E.S. Montevives,Gabia Grande,01/09/2004,,CAEP
18700414,I.E.S. Alfaguara,Loja,01/09/2004,,CAEP
18700475,I.E.S. Montes Orientales,Iznalloz,01/09/2004,,CAEP y III-d
18700487,I.E.S. Hiponova,Montefrío,01/09/2004,,CAEP y III-d
18700499,I.E.S. Puerta del Mar,Almuñécar,01/09/2019,,CAEP
18700542,I.E.S. Veleta,Granada,01/09/2004,,CAEP y III-d
18700566,I.E.S. La Paz,Granada,01/09/2001,,CAEP y III-d
18700581,I.E.S. Sayena,Castell de Ferro,01/09/2007,,CAEP
18700591,I.E.S. Benalúa,Benalúa,01/09/2004,,CAEP
18700611,I.E.S. Fernando de los Ríos,Fuente Vaqueros,01/09/2004,,CAEP y III-d
18700621,I.E.S. Isabel La Católica,Guadahortuna,01/09/2004,,CAEP y III-d
18700633,I.E.S. Lanjarón,Lanjarón,01/09/2008,,CAEP
18700700,I.E.S. Ribera del Fardes,Purullena,01/09/2010,,CAEP
18700761,I.E.S. Alpujarra,Órgiva,01/09/2016,,CAEP
18700773,I.E.S. Diego de Siloé,Íllora,01/09/2005,,CAEP
21000310,I.E.S. La Alborá,Alosno,01/09/2004,31/08/2008,CAEP
21000899,I.E.S. Rafael Reyes,Cartaya,01/09/2004,31/08/2008,CAEP
21000899,I.E.S. Rafael Reyes,Cartaya,01/09/2010,,CAEP
21001028,I.E.S. San José,Cortegana,01/09/2007,,CAEP
21002011,I.E.S. La Marisma,Huelva,01/09/2004,,CAEP y III-d
21002100,I.E.S. Padre José Miravent,Isla Cristina,01/09/2009,,CAEP
21002483,I.E.S. Vázquez Díaz,Nerva,01/09/2004,,CAEP
21003074,I.E.S. Bitácora,Punta Umbría,01/09/2014,,CAEP
21003301,I.E.S. La Orden,Huelva,01/09/2014,,CAEP
21003323,I.E.S. Diego Macías,Calañas,01/09/2005,31/08/2009,CAEP
21003712,I.E.S. Fuentepiña,Huelva,01/09/2005,,CAEP
21003980,I.E.S. José Caballero,Huelva,01/09/2005,,CAEP
21700034,I.E.S. Odiel,Gibraleón,01/09/2008,,CAEP
21700290,I.E.S. Cuenca Minera,Minas de Riotinto,01/09/2017,,CAEP
21700307,I.E.S. Saltés,Punta Umbría,01/09/2004,,CAEP
21700319,I.E.S. Puerta de Andalucía,Santa Olalla del Cala,01/09/2004,31/08/2008,CAEP
21700319,I.E.S. Puerta de Andalucía,Santa Olalla del Cala,01/09/2016,,CAEP
21700344,I.E.S. La Ría,Huelva,01/09/2001,31/08/2010,CAEP
21700435,I.E.S. Sebastián Fernández,Cartaya,01/09/2009,,CAEP
21700435,I.E.S. Sebastián Fernández,Cartaya,01/09/2004,31/08/2008,CAEP
21700538,I.E.S. Turóbriga,Aroche,01/09/2017,,CAEP
21700575,I.E.S. Galeón,Isla Cristina,01/09/2004,,CAEP
21700629,I.E.S. Nuevo Milenio,Zalamea la Real,01/09/2004,31/08/2008,CAEP
21700642,I.E.S. La Ribera,Almonte,01/09/2004,31/08/2008,CAEP
21700654,I.E.S. Doñana,Almonte,01/09/2004,31/08/2008,CAEP
23000131,I.E.S. Sierra Morena,Andújar,01/09/2009,,CAEP
23000131,I.E.S. Sierra Morena,Andújar,01/09/2004,31/08/2008,CAEP
23000143,I.E.S. Hermanos Medina Rivilla,Bailén,01/09/2017,,CAEP
23000246,I.E.S. Salvador Serrano,Alcaudete,01/09/2014,,CAEP
23003119,I.E.S. Fernando III,Martos,01/09/2009,,CAEP
23003119,I.E.S. Fernando III,Martos,01/09/2006,31/08/2008,CAEP
23003132,I.E.S. San Felipe Neri,Martos,01/09/2008,,CAEP
23003934,I.E.S. Miguel Sánchez López,Torredelcampo,01/09/2009,31/08/2010,CAEP
23003934,I.E.S. Miguel Sánchez López,Torredelcampo,01/09/2006,31/08/2008,CAEP
23004240,I.E.S. Juan López Morillas,Jódar,01/09/2010,,CAEP
23005372,I.E.S. Guadalentín,Pozo Alcón,01/09/2008,,CAEP
23005529,I.E.S. San Juan Bosco,Jaén,01/09/2001,,CAEP
23005694,I.E.S. Jándula,Andújar,01/09/2004,31/08/2008,CAEP
23005906,I.E.S. Fuente de la Peña,Jaén,01/09/2001,,CAEP
23005979,I.E.S. Himilce,Linares,01/09/2004,,CAEP
23006029,I.E.S. Francisco de los Cobos,Úbeda,01/09/2009,,CAEP
23006029,I.E.S. Francisco de los Cobos,Úbeda,01/09/2004,31/08/2008,CAEP
23700268,I.E.S. El Yelmo,Cortijos Nuevos,01/09/2016,,CAEP
23700271,I.E.S. El Valle,Jaén,01/09/2001,,CAEP
23700281,I.E.S. Oretania,Linares,01/09/2005,,CAEP
23700301,I.E.S. Maria Cabeza Arellano Martínez,Mengíbar,01/09/2005,,CAEP
23700499,I.E.S. Doña Nieves López Pastor,Villanueva del Arzobispo,01/09/2012,,CAEP
23700554,I.E.S. Juan Pérez Creus,La Carolina,01/09/2008,,CAEP
23700581,I.E.S. Sierra de Segura,Beas de Segura,01/09/2015,,CAEP
23700682,I.E.S. Picos del Guadiana,Huesa,01/09/2005,31/08/2010,CAEP
23700839,I.E.S. Santa Teresa,Jaén,01/09/2001,,CAEP
23700876,I.E.S. García Lorca,Jaén,01/09/2001,31/08/2018,CAEP
29000311,I.E.S. Valle del Genal,Algatocín,01/09/2008,,CAEP
29000694,I.E.S. Las Flores,Álora,01/09/2004,,CAEP
29002836,S.E.S.O. Periodista Federico Alba,Torremolinos,01/09/2008,31/08/2020,CAEP
29003041,I.E.S. Fuengirola Nº 1,Fuengirola,01/09/2009,,CAEP
29003041,I.E.S. Fuengirola Nº 1,Fuengirola,01/09/2004,31/08/2008,CAEP
29004158,I.E.S. Nueva Andalucía,Nueva-Andalucía,01/09/2014,,CAEP
29005916,I.E.S. La Rosaleda,Málaga,01/09/2001,31/08/2006,CAEP
29005928,I.E.S. Nuestra Señora de la Victoria,Málaga,01/09/2014,,CAEP
29005953,I.E.S. Vicente Espinel,Málaga,01/09/2004,,CAEP
29005977,I.E.S. Cánovas del Castillo,Málaga,01/09/2007,,CAEP
29006568,I.E.S. Los Manantiales,Torremolinos,01/09/2008,,CAEP
29007147,I.E.S. Carlos Álvarez,Churriana,01/09/2008,,CAEP
29007214,I.E.S. Sierra Almijara,Nerja,01/09/2008,,CAEP
29007241,I.E.S. El Chaparil,Nerja,01/09/2004,31/08/2008,CAEP
29007998,I.E.S. Pérez de Guzmán,Ronda,01/09/2007,,CAEP
29009922,I.E.S. El Palo,Málaga,01/09/2004,31/08/2008,CAEP
29009934,I.E.S. Salvador Rueda,Málaga,01/09/2004,31/08/2018,CAEP
29010201,I.E.S. Belén,Málaga,01/09/2004,31/08/2008,CAEP
29010365,I.E.S. Profesor Isidoro Sánchez,Málaga,01/09/2001,,CAEP
29010857,I.E.S. Pintor José María Fernández,Antequera,01/09/2004,,CAEP
29011229,I.E.S. Valle del Sol,Álora,01/09/2004,,CAEP
29012076,I.E.S. Ben Gabirol,Málaga,01/09/2016,,CAEP
29700011,I.E.S. Campanillas,Campanillas,01/09/2004,,CAEP
29700242,I.E.S. Núm. 1. Universidad Laboral,Málaga,01/09/2004,31/08/2008,CAEP
29700242,I.E.S. Núm. 1. Universidad Laboral,Málaga,01/09/2009,,CAEP
29700333,I.E.S. Santa Bárbara,Málaga,01/09/2008,,CAEP
29700357,I.E.S. Jacaranda,Churriana,01/09/2004,31/08/2008,CAEP
29700412,I.E.S. Portada Alta,Málaga,01/09/2001,,CAEP
29700527,I.E.S. Jardines de Puerta Oscura,Málaga,01/09/2004,,CAEP
29700680,I.E.S. Trayamar,Algarrobo,01/09/2004,,CAEP
29700758,I.E.S. Victoria Kent,Marbella,01/09/2004,,CAEP
29700795,I.E.S. Ciudad Jardín,Málaga,01/09/2015,,CAEP
29700916,I.E.S. Costa del Sol,Torremolinos,01/09/2015,,CAEP
29700990,I.E.S. María Victoria Atencia,Campanillas,01/09/2007,,CAEP
29701064,I.E.S. Torre Atalaya,Málaga,01/09/2004,31/08/2008,CAEP
29701076,I.E.S. Juan Ramón Jiménez,Málaga,01/09/2005,,CAEP
29701091,I.E.S. Guadalmedina,Málaga,01/09/2001,,CAEP y III-d
29701106,I.E.S. Ciudad de Melilla,Málaga,01/09/2004,,CAEP
29701118,I.E.S. Carlinda,Málaga,01/09/2004,,CAEP y III-d
29701222,I.E.S. Poetas Andaluces,Arroyo de la Miel-Benal,01/09/2004,31/08/2008,CAEP
29701234,I.E.S. José María Torrijos,Málaga,01/09/2006,,CAEP
29701246,I.E.S. Manuel Alcántara,Málaga,01/09/2001,,CAEP
29701261,I.E.S. Fuente Luna,Pizarra,01/09/2008,,CAEP
29701313,I.E.S. Torre del Prado,Campanillas,01/09/2004,,CAEP
41003376,I.E.S. Diamantino García Acosta,Sevilla,01/09/2004,,CAEP y III-d
41007451,I.E.S. Pino Montano,Sevilla,01/09/2004,,CAEP
41008519,I.E.S. Bellavista,Sevilla,01/09/2004,,CAEP
41008520,I.E.S. Luis Cernuda,Sevilla,01/09/2004,31/08/2008,CAEP
41009044,I.E.S. Ramón Carande,Sevilla,01/09/2008,,CAEP
41009056,I.E.S. Polígono Sur,Sevilla,01/09/2001,,CAEP
41009068,I.E.S. Antonio Domínguez Ortiz,Sevilla,01/09/2001,,CAEP
41009858,I.E.S. Albert Einstein,Sevilla,01/09/2004,,CAEP
41009883,I.E.S. Torreblanca,Sevilla,01/09/2001,,CAEP
41011026,I.E.S. Alixar,Castilleja de la Cuesta,01/09/2008,,CAEP
41011038,I.E.S. Gonzalo Nazareno,Dos Hermanas,01/09/2002,,CAEP
41011117,I.E.S. Miguel de Cervantes,Sevilla,01/09/2008,,CAEP
41011129,I.E.S. Pablo Picasso,Sevilla,01/09/2004,,CAEP
41015755,I.E.S. Salvador Távora,Sevilla,01/09/2008,,CAEP y III-d
41700038,I.E.S. Macarena,Sevilla,01/09/2007,,CAEP
41700178,I.E.S. Punta del Verde,Sevilla,01/09/2004,31/08/2008,CAEP
41700361,I.E.S. Torre de los Herberos,Dos Hermanas,01/09/2002,31/08/2008,CAEP y III-d
41700361,I.E.S. Torre de los Herberos,Dos Hermanas,01/09/2010,,CAEP y III-d
41700427,I.E.S. Azahar,Sevilla,01/09/2001,,CAEP
41700853,I.E.S. Jacarandá,Brenes,01/09/2004,,CAEP
41701134,I.E.S. Lago Ligur,Isla Mayor,01/09/2005,,CAEP
41701262,I.E.S. El Molinillo,Guillena,01/09/2008,,CAEP
41701390,I.E.S. Sotero Hernández,San Juan de Aznalfarach,01/09/2014,,Anexo III-d
41701420,I.E.S. Inmaculada Vieira,Sevilla,01/09/2001,,CAEP y III-d
41701444,I.E.S. Siglo XXI,Sevilla,01/09/2001,,CAEP y III-d
41701511,I.E.S. Castalla,Castilleja de la Cuesta,01/09/2005,31/08/2007,CAEP
41701675,I.E.S. Joaquín Romero Murube,Sevilla,01/09/2001,,CAEP
41701717,I.E.S. Antonio Gala,Sevilla,01/09/2004,31/08/2006,CAEP
41701730,I.E.S. Alminar,Bollullos de la Mitación,01/09/2004,31/08/2008,CAEP
41701924,I.E.S. Profesor Juan Antonio Carrillo,Morón de la Frontera,01/09/2004,,CAEP
41702072,I.E.S. San Fernando,Constantina,01/09/2017,,CAEP
41702096,I.E.S. Leonardo da Vinci,Sevilla,01/09/2001,,CAEP
41702175,I.E.S. Aznalcóllar,Aznalcóllar,01/09/2008,,CAEP
41702311,I.E.S. Matilde Casanova,La Algaba,01/09/2004,,CAEP
