Provincia,Código Centro,Nombre Centro
Almería,04700430C,I.E.S. Virgen del Mar
Adra,04700326C,I.E.S. Galileo
Almería,04700511C,I.E.S. Río Andarax
Las Norias,04700478C,I.E.S. Francisco Montoya
Santa María del Águila,04700685C,I.E.S. Santa María del Águila
Algeciras,11001208C,I.E.S. Ciudad de Algeciras (CdA)
Barbate,11008446C,I.E.S. Saladillo
Jerez de la Frontera,11701103C,I.E.S. Federico García Lorca (CdA)
La Línea de la Concepción,11000605C,I.E.S. Torre del Tajo
Córdoba,11007922C,I.E.S. Francisco Romero Vargas
Fuente Vaqueros,11701152C,I.E.S. Antonio Machado
Granada,14700705C,I.E.S. Guadalquivir
Guadahortuna,18700611C,I.E.S. Fernando de los Ríos (CdA)
Iznalloz,18700542C,I.E.S. Veleta
Montefrío,18700566C,I.E.S. La Paz (CdA)
Pinos Puente,18700621C,I.E.S. Isabel La Católica
Huelva,18700475C,I.E.S. Montes Orientales
Málaga,18700487C,I.E.S. Hiponova
Dos Hermanas,18009432C,I.E.S. Cerro de los Infantes
San Juan de Aznalfarache,21002011C,I.E.S. La Marisma
Sevilla,29701091C,I.E.S. Guadalmedina
Sevilla,29701118C,I.E.S. Carlinda
Sevilla,41700361C,I.E.S. Torre de los Herberos
Sevilla,41701390C,I.E.S. Sotero Hernández (CdA)
Sevilla,41003376C,I.E.S. Diamantino García Acosta
Sevilla,41015755C,I.E.S. Salvador Távora
Sevilla,41701420C,I.E.S. Inmaculada Vieira
Sevilla,41701444C,I.E.S. Siglo XXI (CdA)
