Dirección,Código Postal,Municipio,Provincia,Tipo Centro,Nombre Centro,Código Centro,Público/Privado,Idiomas,Distancia (Km),Duración,Centro Compensatorio
"C/ San Miguel, s/n",18100,Armilla,Granada,Instituto de Educación Secundaria,Alba Longa,18700232,Público,Es bilingüe,"1,2 km",4 min,Empty
"C/ San Ramón, 10",18194,Churriana de la Vega,Granada,Instituto de Educación Secundaria,Federico García Lorca,18002243,Público,Es bilingüe,"1,8 km",5 min,Empty
"C/ Francisco Palau y Quer, 17",18006,Granada,Granada,Centro público integrado de formación profesional,Hurtado de Mendoza,18004355,Público,Es bilingüe,"3,0 km",6 min,Empty
"Avda. de Las Palmeras, s/n",18100,Armilla,Granada,Instituto de Educación Secundaria,Luis Bueno Crespo,18000787,Público,Es bilingüe,"3,0 km",7 min,Empty
"C/ Beethoven, 4",18006,Granada,Granada,Instituto de Educación Secundaria,Mariana Pineda,18009195,Público,Es bilingüe,"2,7 km",7 min,Empty
"C/ Beethoven, 2",18006,Granada,Granada,Instituto de Educación Secundaria,Alhambra,18010185,Público,Es bilingüe,"2,9 km",7 min,Empty
"Avda. de las Alpujarras, 31",18015,Granada,Granada,Instituto de Educación Secundaria,Severo Ochoa,18009249,Público,Es bilingüe,"5,9 km",8 min,Empty
"C/ Huerta del Rasillo, s/n",18003,Granada,Granada,Instituto de Educación Secundaria,Generalife,18010446,Público,Es bilingüe,"4,9 km",8 min,Empty
"C/ Huerta del Rasillo, s/n",18004,Granada,Granada,Instituto de Educación Secundaria,Fray Luis de Granada,18700013,Público,Es bilingüe,"4,9 km",8 min,Empty
"C/ Albondón, 7",18003,Granada,Granada,Instituto de Educación Secundaria,Politécnico Hermenegildo Lanz,18004288,Público,Empty,"5,7 km",10 min,Empty
"C/ Santa Bárbara, 15",18001,Granada,Granada,Instituto de Educación Secundaria,Ángel Ganivet,18004276,Público,Es bilingüe,"5,6 km",11 min,Empty
"C/ Gonzalo Gallas, s/n",18003,Granada,Granada,Instituto de Educación Secundaria,Padre Manjón,18004291,Público,Es bilingüe,"5,7 km",11 min,Empty
"C/ Torre de los Picos, 2",18008,Granada,Granada,Instituto de Educación Secundaria,Pedro Soto de Rojas,18700037,Público,Es bilingüe,"5,1 km",11 min,Empty
"C/ Primavera, 26-28",18008,Granada,Granada,Instituto de Educación Secundaria,Zaidín-Vergeles,18700098,Público,Es bilingüe,"4,6 km",11 min,Empty
"C/ Gran Vía de Colón, 61",18001,Granada,Granada,Instituto de Educación Secundaria,Padre Suárez,18004264,Público,Es bilingüe,"5,9 km",12 min,Empty
"C/ Alhucema, 3",18198,Huétor Vega,Granada,Instituto de Educación Secundaria,Los Neveros,18009201,Público,Es bilingüe,"6,7 km",12 min,Empty
"C/ Virgen del Pilar, 5",18012,Granada,Granada,Instituto Provincial de Educación Permanente,Granada,18111111,Público,Empty,"6,2 km",12 min,Empty
"Plaza Escritor Fernández Castro, 2",18014,Granada,Granada,Instituto de Educación Secundaria,La Madraza,18700311,Público,Es bilingüe,"8,8 km",12 min,Empty
"Cmo. Nuevo, s/n",18200,Maracena,Granada,Instituto de Educación Secundaria,Manuel de Falla,18700657,Público,Es bilingüe,"10,3 km",12 min,Empty
"C/ Maestro Diego Montes, 2",18195,Cúllar Vega,Granada,Instituto de Educación Secundaria,Arabuleila,18003004,Público,Es bilingüe,"6,1 km",13 min,Empty
"Avda. de Andalucía, 38",18014,Granada,Granada,Instituto de Educación Secundaria,Virgen de las Nieves,18004458,Público,Es bilingüe,"7,6 km",13 min,Empty
"C/ Gracia, 4",18002,Granada,Granada,Escuela de Arte,José Val del Omar,18004501,Público,Empty,"5,0 km",13 min,Empty
"Avda. Francisco Ayala, s/n",18014,Granada,Granada,Instituto de Educación Secundaria,Francisco Ayala,18700293,Público,Es bilingüe,"9,0 km",13 min,Empty
"C/  Camino Real de los Neveros, 1",18008,Granada,Granada,Instituto de Educación Secundaria,Miguel de Cervantes,18700441,Público,Es bilingüe,"5,3 km",13 min,Empty
"C/ Real, s/n",18620,Alhendín,Granada,Instituto de Educación Secundaria,Alhendín,18000842,Público,Es bilingüe,"9,4 km",14 min,Empty
"Paseo Paseo de Cartuja, s/n",18011,Granada,Granada,Centro público integrado de formación profesional,Aynadamar,18009377,Público,Es bilingüe,"6,8 km",14 min,Empty
