Provincia,codigo,Nombre Centro
Almería,04000110C,I.E.S. Abdera
Almería,04000134C,I.E.S. Gaviota
Almería,04006045C,I.E.S. Mar Mediterráneo
Almería,04700260C,I.E.S. Aguadulce
Almería,04700673C,I.E.S. Carlos III
Almería,04000250C,I.E.S. Cardenal Cisneros
Almería,04005284C,I.E.S. Martín García Ramos
Almería,04700259C,I.E.S. Cerro Milano
Almería,04000699C,I.E.S. Alhamilla
Almería,04001141C,I.E.S. Nicolás Salmerón Alonso
Almería,04001151C,I.E.S. Celia Viñas
Almería,04001163C,I.E.S. Alhadra
Almería,04001187C,I.E.S. Los Ángeles
Almería,04001205C,C.P.I.F.P. Almeraya
Almería,04001242C,E.A.S.D. Carlos Pérez Siquier
Almería,04004620C,I.E.S. Al-Ándalus (CdA)
Almería,04004802C,I.E.S. Alborán - Manuel Cáliz
Almería,04004814C,I.E.S. El Argar
Almería,04005958C,I.E.S. Albaida
Almería,04700156C,I.E.S. Bahía de Almería
Almería,04700442C,I.E.S. Azcona
Almería,04700454C,I.E.S. Maestro Padilla
Almería,04700466C,I.E.S. Cruz de Caravaca
Almería,04700651C,I.P.E.P. Almería
Almería,04000766C,I.E.S. Azahar
Almería,04700533C,I.E.S. Mar Azul
Almería,04700545C,I.E.S. Aurantia
Almería,04001825C,I.E.S. Sierra de Gádor
Almería,04008315C,I.E.S. Villavieja
Almería,04700132C,I.E.S. Campos de Níjar
Almería,04005533C,I.E.S. Valle de Andarax
Almería,04001931C,I.E.S. Valle del Almanzora
Almería,04700053C,I.E.S. Juan Goytisolo
Almería,04002052C,I.E.S. Jaroso
Almería,04700557C,I.E.S. Ciudad de Dalías
Almería,04700521C,I.E.S. El Alquián
Almería,04002313C,I.E.S. Santo Domingo
Almería,04004826C,I.E.S. Murgi
Almería,04006689C,I.E.S. Luz del Mar
Almería,04700272C,I.E.S. Fuente Nueva
Almería,04700481C,I.E.S. Pablo Ruiz Picasso
Almería,04000331C,I.E.S. El Parador
Almería,04002532C,I.E.S. Sierra Nevada
Almería,04700569C,I.E.S. Gádor-Francisco Javier Román
Almería,04001497C,I.E.S. Mediterráneo
Almería,04010954C,S.E.S.O. del I.E.S. Carmen de Burgos (CdA)
Almería,04700570C,I.E.S. Carmen de Burgos (CdA)
Almería,04002714C,I.E.S. Cura Valera
Almería,04005363C,I.E.S. Al-Bujaira
Almería,04700107C,I.E.S. Sol de Portocarrero
Almería,04700624C,I.E.S. Villa de Vícar
Almería,04700363C,I.E.S. La Mojonera
Almería,04000341C,I.E.S. Las Marinas
Almería,04011594C,S.E.S.O. del I.E.S. Las Marinas
Almería,04700582C,I.E.S. Emilio Manzano
Almería,04003135C,I.E.S. Juan Rubio Ortiz
Almería,04700090C,I.E.S. Rey Alabez
Almería,04700594C,I.E.S. Villa de Níjar
