curso,codigo,D_DENOMINA,D_ESPECIFICA,D_TIPO,D_DOMICILIO,D_LOCALIDAD,cod_municipio,D_MUNICIPIO,D_PROVINCIA,C_POSTAL,N_TELEFONO,Correo_e,N_LATITUD,N_LONGITUD,N_COUTMX,N_COUTMY,Regimen_general,Regimen_adultos,Regimen_especial,pub_adh_inf1,pub_noadh_inf1,priv_adh_inf1,priv_noadh_inf1,pub_inf2,priv_c_inf2,priv_noc_inf2,pub_pri,priv_c_pri,priv_noc_pri,pub_eso,priv_c_eso,priv_noc_eso,pub_bach_ord,priv_c_bach_ord,priv_noc_bach_ord,pub_bach_adul,pub_bach_semi_dist,pub_fpbasica,priv_c_fpbas,priv_noc_fpbas,pub_fpgm_ord,priv_c_fpgm_ord,priv_noc_fpgm_ord,pub_fpgm_adul,pub_fpgm_semi_dist,priv_noc_fpgm_semi_dist,pub_fpgs_ord,priv_c_fpgs_ord,priv_noc_fpgs_ord,pub_fpgs_adul,priv_noc_fpgs_adul,pub_fpgs_semi_dist,priv_noc_fpgs_semi_dist,pub_ce_gm,pri_noc_ce_gm,pub_ce_gs,pri_noc_ce_gs,pub_ee,priv_c_ee,priv_noc_ee,pub_ccff_gm_apd,priv_ccff_gm_apd,pub_ccff_gs_apd,priv_ccff_gs_apd,pub_ESD,priv_ESD,priv_Master_EA,pub_Dra,priv_Dra,pub_Ens_Mus,priv_Ens_Mus,pub_Ens_Dan,priv_Ens_Dan,pub_Ens_no_reg_mus,priv_Ens_no_reg_mus,pub_Ens_no_reg_dan,priv_Ens_no_reg_dan,pub_idi,pub_idi_libre,pub_Ens_no_reg_idi,pub_Dep_gm,priv_Dep_gm,pub_Dep_gs,priv_Dep_gs,pub_Adul_formal,pub_planes
22,04005284,Instituto de Educación Secundaria,Martín García Ramos,Público,"Ctra. de la Estación, 8",Albox,04006,Albox,Almería,04800,697951168,iesmgr@telefonica.net,"37,38614129553454","-2,148344031091824","575392,8234","4138049,914",S,S,N,N,N,N,N,N,N,N,N,N,N,S,N,N,S,N,N,N,S,S,N,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N
22,04005363,Instituto de Educación Secundaria,Al-Bujaira,Público,"Avda. Guillermo Reyna, 37",Huércal-Overa,04053,Huércal-Overa,Almería,04600,950451920,04005363.edu@juntadeandalucia.es,"37,395745219816135","-1,945953369140625","593298,0318","4139296,366",S,S,N,N,N,N,N,N,N,N,N,N,N,S,N,N,S,N,N,N,N,N,N,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N
22,04005533,Instituto de Educación Secundaria,Valle de Andarax,Público,"C/ Olivares, s/n",Canjáyar,04030,Canjáyar,Almería,04450,950515905,04005533.edu@juntadeandalucia.es,"37,0070893678671","-2,7382269501686096","523289,3964","4095690,841",S,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22,04005958,Instituto de Educación Secundaria,Albaida,Público,"Ctra. de Níjar, s/n. Bda. Los Molinos",Almería,04013,Almería,Almería,04009,950156290,04005958.edu@juntadeandalucia.es,"36,84631949758646","-2,443465490852759","549617,9525","4077968,824",S,S,N,N,N,N,N,N,N,N,N,N,N,S,N,N,S,N,N,N,S,N,N,N,S,N,N,S,N,N,S,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N
22,04006045,Instituto de Educación Secundaria,Mar Mediterráneo,Público,"C/ Parcela 4-Sector 4º, junto a Palacios de Congresos",Aguadulce,04079,Roquetas de Mar,Almería,04720,950156963,contacto@iesmarmediterraneo.org,"36,82373150686599","-2,58378267288208","537118,7841","4075399,432",S,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22,04006689,Instituto de Educación Secundaria,Luz del Mar,Público,"Avda. de la Luz, s/n",El Ejido,04902,El Ejido,Almería,04700,950101036,04006689.edu@juntadeandalucia.es,"36,779568266496206","-2,8098027551236555","516971,7378","4070436,483",S,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22,04008315,Instituto de Educación Secundaria,Villavieja,Público,"Avda. del Estudiante, s/n",Berja,04029,Berja,Almería,04760,950579672,04008315.edu@juntadeandalucia.es,"36,83849758276717","-2,9487964510917664","504565,5081","4076957,85",S,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22,04009393,Instituto de Educación Secundaria,Retamar,Público,"Paseo del Toyo, s/n",Retamar,04013,Almería,Almería,04131,950153005,04009393.edu@juntadeandalucia.es,"36,84203967643576","-2,30461030276183","562001,2268","4077575,162",S,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22,04000110,Instituto de Educación Secundaria,Abdera,Público,"C/ Marisma, 6",Adra,04003,Adra,Almería,04770,950400711,04000110.edu@juntadeandalucia.es,"36,74694128175689","-3,024834378529704","497783,0335","4066800,631",S,S,N,N,N,N,N,N,N,N,N,N,N,S,N,N,S,N,N,N,S,N,N,N,S,N,N,N,N,N,S,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N
22,04000122,Instituto de Educación Secundaria,San Isidro,Público,"Bda. Paraje el Cerrillo, s/n",San Isidro de Níjar,04066,Níjar,Almería,04117,950156900,04000122.edu@juntadeandalucia.es,"36,909359941528336","-2,1664631366729736","574253,5091","4085141,833",S,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
