codigo,info_extra
04001151,Buen centro. Un edificio muy senorial y en pleno centro de Almeria. Sigue siendo un instituto con muy buena fama en Almeria. Inconveniente: el claustro es enorme (mas de 100 profes) y la mayoria muy mayores (concursan y acaban jubilandose alli). De todas formas hacen muchisimas actividades. Hay clase en el nocturno y mucha FP. Tiene bachillerato internacional.
04002313,"En general mucho inmigrante, no pedirlo"
04004802,"Buen centro. Es otro de los institutos de solera de Almeria, junto con el Celia Vinas. Siempre ha tenido muy buena fama en cuanto a resultados academicos. Esta al lado del conservatorio."
04004826,"En general mucho inmigrante, no pedirlo Nivel Academico Alto"
04004978,"Alumnado muy diverso: muy bueno y muy malo. El problema es que agrupan por un lado a los buenos buenos y por otro a los malos, malos. Dependerá qué grupos te toquen que estés a gusto o a disgusto."
04700053,MALO
04700132,"Muy malo en la ESO. El equipo directivo funciona en forma de cortijo, sólo le importa que los alumnos no sean expulsados aunque eso convierta en un infierno las clases. Alumnado muy disruptivo, mayoritariamente inmigrante."
04700272,"En general mucho inmigrante, no pedirlo Nivel Academico Alto"
11000368,EVITAR LA ZONA
11000371,EVITAR LA ZONA
11000381,EVITAR LA ZONA
11000711,Muy buen centro. Carretera recién arreglada.
11000824,EVITAR LA ZONA
11001762,Pistas al aire libre
11001828,Alumnado complicado. Familias pocos recursos. Nivel académico bajo.
11001890,Muy buen insti (prepara exámenes Trinity).
11002213,Muy buen centro.
11003862,EVITAR LA ZONA
11003874,EVITAR LA ZONA
11003886,EVITAR LA ZONA
11003916,EVITAR LA ZONA
11004556,Muy buen centro. Pabellón.
11005241,Buen centro.
11005275,Buen centro.
11005287,Muy buen centro.
11005755,MALO
11006486,Pistas al aire libre
11006668,Pueblo pequeño. Ni idea del insti.
11007387,Buen instituto.
11007582,Muy buen centro.
11007791,MALO
11008239,Buen centro.
11008446,EVITAR LA ZONA
11008495,EVITAR LA ZONA
11008501,Buen centro.
11012267,"Alumnado bueno. Padres exigentes, de muchas reclamaciones. Mucha burocracia, actas de 21 páginas que te corrigen. Todo se hace por Séneca (cuaderno de Séneca), Moodle (no se usa Classroom)."
11700123,Alumnado y zona complicada.
11700135,EVITAR LA ZONA
11700147,Buen centro.
11700287,Alumnado complicado. Familias pocos recursos. Nivel académico bajo. Mal para EF.
11700299,Centro buenísimo.
11700342,EVITAR LA ZONA
11700470,Centro pequeño. Llueve mucho. No es mal centro.
11700512,Buen centro.
11700585,Buen centro. Pero EqDir cortijero...
11700755,Cerca de Arcos. Ni idea del insti. Bien comunicado.
11700937,Muy buen centro. Carretera recién arreglada.
14000021,MALO. Mayoría de la población gitana
14000321,Buen centro
14000689,"Regular. Vivir no, gente bruta como Vilches"
14000707,Buen centro
14002923,Buen centro
14002960,Buen centro. Tendillas.
14002972,Buen centro
14002984,MALO
14002996,Regular
14003551,Muy burros en el pueblo. Regular
14004099,Buen centro.
14004828,"Cuentan que el alumnado y los companeros son estupendos, pero que el instituto, al ser centro de calidad, tiene una brutalidad de papeleo que hay que rellenar practicamente cada semana. El inspector va mucho por alli y la gente se pone nerviosa. Los alumnos muy bien, pero la burocracia es algo salvaje: acribillan a informes, preevaluaciones, diagnosticos... incluso antes del covid."
14004889,Buen centro
14004971,Buen centro. Buen ambiente profes y alumnos
